plan_name,price,feature_1,feature_2,feature_3
"300Mbps Speed","$55/mo","Game, stream, and video chat with confidence","Support your smart home devices","15x faster upload speeds than cable internet"
"500Mbps Speed","$65/mo","Level up your gaming with low lag","Connect and control multiple smart devices with ease","20x faster upload speeds than cable internet"
"Up to 1 GIG speed","$80/mo","The speed to succeed for work and pro-level gaming","Unleash the full potential of your smart home ecosystem","25x faster upload speeds than cable internet"
